,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
122,Manavālakurichi,IN,8.13,77.3,80.6,78,75,3.36
123,Maïné Soroa,NE,13.21,12.02,82.2,14,97,5.06
125,Hals,DK,57.0,10.31,44.01,79,0,8.32
126,Khani,GE,41.96,42.96,50.0,93,90,3.36
127,Chokurdakh,RU,70.63,147.92,23.86,96,100,2.51
128,George Town,MY,5.41,100.34,80.6,100,20,2.24
129,Brenham,US,30.17,-96.4,84.2,58,1,11.41
131,Athabasca,CA,54.72,-113.29,53.08,52,52,15.32
132,Khandyga,RU,62.67,135.6,23.23,91,49,2.3
133,Sakaiminato,JP,35.55,133.23,48.2,49,75,21.92
136,Darhan,MN,49.49,105.92,31.89,53,0,3.96
137,Kamaishi,JP,39.27,141.88,44.6,87,75,9.17
138,Mortka,RU,59.33,66.02,41.4,91,99,9.13
139,Severo-Kuril'sk,RU,50.68,156.12,32.81,92,100,33.49
140,Ilulissat,GL,69.22,-51.1,33.8,69,0,5.82
142,Kungurtug,RU,50.6,97.52,35.55,39,0,1.3
143,Ciudad Bolivar,VE,8.12,-63.55,91.38,39,54,8.63
144,Egvekinot,RU,66.32,-179.17,13.96,87,0,4.09
147,Tura,IN,25.52,90.22,65.55,81,99,0.81
148,Arni,IN,12.67,79.28,76.26,77,92,3.27
150,Fortuna,US,40.6,-124.16,59.0,53,54,10.0
151,Kahului,US,20.89,-156.47,84.2,42,20,11.41
152,Aklavik,CA,68.22,-135.01,14.0,61,75,12.75
156,Hargeisa,SO,9.56,44.06,67.41,61,100,5.39
157,Bethel,US,41.37,-73.41,44.01,81,90,3.36
159,Kloulklubed,PW,7.04,134.26,77.0,94,75,4.7
161,Jiazi,CN,22.88,116.07,69.82,82,93,17.74
164,Thompson,CA,55.74,-97.86,32.0,93,75,6.93
165,Saint-Augustin,CA,51.23,-58.65,32.32,91,15,8.61
166,Hebi,CN,35.9,114.19,46.58,36,29,7.72
167,Evensk,RU,61.95,159.23,23.14,88,63,5.59
168,Lavrentiya,RU,65.58,-171.0,16.43,90,4,5.26
169,Tuktoyaktuk,CA,69.45,-133.04,6.8,77,75,18.34
171,Cranbrook,CA,49.5,-115.77,64.4,25,40,18.34
172,Narón,ES,43.52,-8.15,55.99,93,90,6.93
175,Beaverlodge,CA,55.22,-119.44,59.0,38,75,26.4
176,Dingle,PH,11.0,122.67,83.34,73,86,9.64
177,Mathbaria,BD,22.29,89.96,73.27,76,80,3.06
178,Tyubuk,RU,56.06,60.94,48.56,84,99,10.4
182,Saskylakh,RU,71.92,114.08,25.52,97,98,1.57
183,Bogale,MM,16.28,95.4,76.39,92,0,5.19
184,Boa Vista,BR,2.82,-60.67,87.8,55,40,2.24
185,Uddevalla,SE,58.35,11.94,43.0,80,0,1.61
188,Jishui,CN,33.73,115.4,54.43,56,18,14.27
190,Pervomayskiy,RU,53.25,40.29,38.17,73,98,17.63
192,Dassel,DE,51.8,9.69,50.0,50,0,8.97
193,Bandarbeyla,SO,9.49,50.81,80.98,72,69,6.85
194,Yakymivka,UA,46.69,35.15,40.64,69,2,7.4
195,Kon Tum,VN,14.35,108.0,78.21,54,59,0.81
196,Provideniya,RU,64.38,-173.3,14.0,66,4,2.24
199,St. George's,GD,12.06,-61.75,82.4,78,20,17.22
200,Cabo San Lucas,MX,22.89,-109.91,87.8,12,40,12.75
202,Carnot,CF,4.94,15.87,70.38,79,44,1.9
204,Kłobuck,PL,50.9,18.94,44.01,67,0,2.24
205,Saint Paul Harbor,US,57.79,-152.41,44.6,93,75,5.82
206,Krasnosel'kup,RU,65.7,82.47,33.98,98,100,10.89
207,Arona,ES,28.1,-16.68,66.99,55,20,14.99
208,Yaan,NG,7.38,8.57,83.53,54,67,5.46
209,Scarborough,GB,54.28,-0.4,45.0,87,8,1.01
212,Koslan,RU,63.46,48.9,28.42,95,87,10.13
213,Batagay,RU,67.63,134.63,22.59,93,99,2.71
214,Sur,OM,22.57,59.53,86.04,42,89,10.47
217,Burē,ET,10.7,37.07,61.03,14,0,4.05
218,Tegh,AM,39.56,46.48,45.39,64,82,0.49
219,Tāybād,IR,34.74,60.78,67.53,33,100,1.3
220,Samagaltay,RU,50.6,95.0,40.53,34,0,3.22
221,Abalak,RU,58.13,68.59,40.48,89,94,8.55
222,Sevierville,US,35.87,-83.56,69.8,22,20,11.41
223,Truth or Consequences,US,33.13,-107.25,82.4,8,1,17.22
225,Conway,US,35.09,-92.44,82.0,28,1,3.36
226,Yakeshi,CN,49.28,120.73,21.07,86,63,15.01
227,Gemena,CD,3.25,19.77,71.4,86,16,2.19
228,Manitouwadge,CA,49.12,-85.84,21.65,85,98,9.31
229,Acapulco de Juárez,MX,16.86,-99.89,82.4,74,20,10.29
230,San Quintín,MX,30.48,-115.95,62.94,72,0,21.45
231,Pangnirtung,CA,66.15,-65.71,14.0,85,90,3.36
232,Praia da Vitória,PT,38.73,-27.07,60.8,72,40,13.06
233,Gravdal,NO,68.12,13.5,41.04,81,57,6.11
234,Saint-François,FR,46.42,3.91,51.8,81,98,1.52
235,Avera,US,33.19,-82.53,77.0,38,40,12.75
237,Krasnyy Chikoy,RU,50.36,108.75,29.62,53,0,2.19
238,Hambantota,LK,6.12,81.12,81.27,81,100,7.87
239,Duayaw-Nkwanta,GH,7.17,-2.1,76.37,74,18,2.64
240,Douglas,US,41.3,-96.17,73.4,50,40,8.28
241,Khovd,MN,48.01,91.64,40.41,33,0,0.45
242,Liverpool,GB,53.41,-2.98,48.2,76,39,11.41
244,Atar,MR,20.52,-13.05,74.73,17,0,9.44
245,Erzin,TR,36.96,36.2,64.99,74,66,0.72
246,Diu,IN,20.71,70.98,81.34,58,60,12.03
247,Rome,US,43.21,-75.46,41.0,41,75,21.92
248,Ust-Kuyga,RU,70.02,135.6,25.05,95,94,5.1
249,Ixtapa,MX,20.7,-105.2,77.0,73,40,11.41
250,Phang Nga,TH,8.45,98.53,77.0,94,20,2.64
253,Nizhniy Tsasuchey,RU,50.52,115.13,31.33,58,0,13.58
254,Vavuniya,LK,8.75,80.5,76.3,91,100,4.79
255,Tadpatri,IN,14.92,78.02,78.13,54,80,3.0
258,Kargopol',RU,61.51,38.95,28.67,94,54,11.23
259,Totskoye,RU,52.52,52.76,39.51,78,57,14.29
262,San Cristobal,VE,7.77,-72.22,89.6,52,40,8.05
263,Duekoué,CI,6.75,-7.35,74.66,88,97,2.55
264,Palazzolo Acreide,IT,37.06,14.9,59.0,87,15,8.05
265,Mayo,US,38.89,-76.51,62.6,36,40,14.99
266,Tumalaytay,PH,12.28,123.23,82.06,76,58,12.1
269,Duluth,US,46.78,-92.11,44.6,41,75,6.93
271,Atchison,US,39.56,-95.12,71.6,24,1,5.82
272,Malayal,PH,7.21,121.94,78.8,94,40,2.24
274,San Pedro de Urabá,CO,8.28,-76.38,78.8,88,75,4.7
275,Beyneu,KZ,45.32,55.2,54.45,44,85,12.75
277,Healdsburg,US,38.61,-122.87,75.2,44,1,11.41
279,Portland,US,45.52,-122.68,61.0,67,40,6.93
280,Lodeynoye Pole,RU,60.73,33.55,35.28,84,63,8.99
281,Adrar,MR,20.5,-10.07,78.53,14,0,8.08
282,Wasaga Beach,CA,44.52,-80.02,32.0,88,90,18.34
283,Meulaboh,ID,4.14,96.13,79.86,84,99,5.86
285,Udachny,RU,66.42,112.4,30.2,63,99,4.47
286,Myanaung,MM,18.28,95.32,77.0,57,23,0.74
287,Belgrade,RS,44.8,20.47,48.2,70,41,6.93
288,el Prat de Llobregat,ES,41.33,2.09,57.99,100,75,9.17
289,Huangmei,CN,30.19,116.03,59.36,55,86,4.09
290,Torbay,CA,47.67,-52.73,33.01,91,75,18.34
291,Sabha,LY,27.04,14.43,71.85,17,0,4.61
292,Pacifica,US,37.61,-122.49,66.99,76,90,12.75
293,Raudeberg,NO,61.99,5.14,50.0,63,13,1.28
294,Albacete,ES,38.83,-2.0,48.2,93,40,16.11
296,Iqaluit,CA,63.75,-68.51,3.2,77,75,26.4
298,Zaykovo,RU,57.56,62.76,48.79,81,92,9.66
299,Berezovyy,RU,51.67,135.7,23.7,92,100,20.04
300,Progreso,MX,21.28,-89.67,96.8,44,40,11.41
301,Puerto Palomas,MX,31.77,-107.62,82.4,8,1,20.8
302,Thinadhoo,MV,0.53,72.93,81.77,75,100,4.99
304,Gillette,US,44.29,-105.5,66.99,23,1,13.87
307,Topolobampo,MX,25.6,-109.05,88.0,26,75,19.46
308,Khargupur,IN,27.38,81.98,70.11,65,8,13.2
310,Saryg-Sep,RU,51.5,95.6,39.02,45,0,3.56
312,Ola,RU,59.58,151.28,22.42,86,61,6.46
313,Bahía Solano,CO,6.23,-77.4,79.52,82,100,3.15
314,Elko,US,41.0,-115.5,68.0,16,75,11.41
315,Bayir,TR,37.27,28.22,59.0,87,100,1.88
316,Oranjestad,AW,12.52,-70.03,84.2,74,20,20.8
317,Ostrovnoy,RU,68.05,39.51,31.24,93,97,21.52
320,Manzanillo,CU,20.34,-77.12,81.81,65,1,4.88
321,Faya,SA,18.39,42.45,59.0,87,15,6.93
323,Tatarsk,RU,55.22,75.98,54.32,61,100,6.46
325,Dwārka,IN,22.24,68.97,81.19,79,89,14.99
326,Nador,MA,35.17,-2.93,62.6,72,12,14.99
327,Los Llanos de Aridane,ES,28.66,-17.92,66.2,63,90,8.05
330,Tambilil,PH,5.96,124.67,84.6,60,97,2.01
331,Bristol,US,41.83,-71.17,44.6,81,90,8.05
332,Assiniboia,CA,49.63,-105.98,65.41,28,2,16.49
333,Cascais,PT,38.7,-9.42,59.0,82,75,9.17
335,Korla,CN,41.76,86.15,56.62,34,5,5.41
336,Mehamn,NO,71.04,27.85,39.2,55,75,32.21
338,Laas,IT,46.62,10.7,42.8,87,40,8.05
339,Sinnamary,GF,5.38,-52.95,79.03,84,94,12.53
341,San Patricio,MX,19.22,-104.7,80.6,83,40,9.17
342,Santa Rosa,PH,14.31,121.11,84.0,74,20,2.24
343,Saint George,US,37.1,-113.58,66.99,59,1,9.84
344,Verkhnevilyuysk,RU,63.45,120.32,32.4,91,94,3.96
345,Belle Fourche,US,44.67,-103.85,71.01,22,1,14.99
346,Grindavik,IS,63.84,-22.43,37.4,93,20,10.29
347,Amapá,BR,1.0,-52.0,71.38,94,100,2.17
348,Hvide Sande,DK,56.0,8.13,46.0,67,0,6.11
351,Praia,CV,14.92,-23.51,73.4,73,20,16.11
352,Ubinskoye,RU,55.31,79.68,50.07,65,100,4.29
353,Aswān,EG,24.09,32.91,73.67,20,0,3.69
354,Peniche,PT,39.36,-9.38,59.0,79,45,10.0
356,Abu Samrah,SY,35.3,37.18,65.26,34,44,2.64
357,Heihe,CN,50.24,127.49,26.6,63,20,20.13
358,Līsakovsk,KZ,52.54,62.49,55.56,57,96,9.48
360,Forsytheganj,BY,52.63,29.73,37.96,83,100,6.82
361,Bergen,NO,60.39,5.33,48.99,70,0,9.17
362,Chingirlau,KZ,51.09,54.08,41.16,75,54,11.25
363,Terrace,CA,54.52,-128.6,48.2,76,90,17.22
364,Mogadishu,SO,2.04,45.34,83.35,74,85,9.01
365,Elizabeth City,US,36.29,-76.25,73.4,46,20,10.29
367,Karpathos,GR,35.51,27.21,62.6,88,71,6.93
369,Sirte,LY,31.21,16.59,63.39,70,0,1.95
370,Aykhal,RU,66.0,111.5,30.2,63,99,4.47
372,Hammerfest,NO,70.66,23.68,39.2,64,20,43.62
373,Solnechnyy,RU,50.72,136.63,25.43,93,93,20.74
374,College,US,64.86,-147.8,42.01,86,90,3.15
375,Vestmanna,FO,62.16,-7.17,42.8,75,0,8.05
377,Pakxan,LA,18.38,103.66,82.22,62,39,2.71
378,Nouakchott,MR,18.09,-15.98,73.4,64,0,18.34
379,Östersund,SE,63.18,14.64,41.0,60,0,2.24
380,Panzhihua,CN,26.59,101.71,69.12,30,100,0.22
381,Ribeira Grande,PT,38.52,-28.7,59.68,77,77,11.9
383,Apricena,IT,41.78,15.44,57.2,93,75,6.93
385,Buffalo,US,42.89,-78.88,36.0,47,90,21.92
386,Weinan,CN,34.5,109.51,54.0,33,68,2.24
387,Jiuquan,CN,39.74,98.52,46.13,23,10,3.85
389,Petra,JO,30.32,35.48,65.26,34,0,2.89
391,Mogadouro,PT,41.34,-6.71,46.9,72,70,2.1
392,Sistranda,NO,63.73,8.83,39.2,93,20,4.7
393,Lagoa,PT,39.05,-27.98,59.59,73,92,15.5
394,Port Hardy,CA,50.7,-127.42,55.4,58,90,8.05
395,Det Udom,TH,14.91,105.08,84.2,70,63,3.36
396,Malakal,SS,9.53,31.66,81.23,13,9,6.58
397,Erenhot,CN,43.65,111.98,29.75,43,14,13.58
398,Gallup,US,35.53,-108.74,64.4,17,75,16.11
400,Bukachacha,RU,52.98,116.92,30.15,59,0,6.82
401,Tandaltī,SD,13.02,31.87,76.51,13,0,10.27
403,Havelock,US,34.88,-76.9,71.6,56,90,24.16
404,Oussouye,SN,12.48,-16.55,78.8,78,0,9.17
405,Dagana,MR,16.52,-15.51,86.0,28,0,2.24
406,West Plains,US,36.73,-91.85,73.99,28,1,10.29
408,Menzel Salem,TN,35.86,8.48,50.0,76,75,12.75
409,High Level,CA,58.52,-117.14,51.8,72,75,10.29
411,Sanchazi,CN,42.08,126.6,31.03,75,96,10.63
412,Okha,RU,53.57,142.95,28.81,94,100,28.43
416,Dukat,RU,62.55,155.55,12.02,85,54,2.59
418,Podosinovets,RU,60.28,47.07,33.15,87,92,12.84
419,Swan River,CA,52.11,-101.27,34.95,82,99,4.18
420,Vega de Alatorre,MX,20.03,-96.63,82.99,74,13,7.9
421,Semey,KZ,50.41,80.23,39.2,86,66,2.24
422,Cam Ranh,VN,11.92,109.16,78.8,88,20,2.24
423,Yuncheng,CN,35.02,110.99,55.47,30,85,4.61
424,Yate,GB,51.54,-2.42,51.01,71,4,16.11
426,Shache,CN,38.42,77.24,56.44,40,80,4.27
427,Nānākuli,US,21.39,-158.15,80.6,73,90,2.48
428,Verāval,IN,20.9,70.37,79.02,68,48,10.18
431,Deputatsky,RU,69.3,139.9,19.13,92,100,1.48
433,Cayenne,GF,4.93,-52.33,75.2,100,100,2.24
434,Puerto Escondido,MX,15.85,-97.07,86.0,74,5,11.41
435,Tahe,CN,52.33,124.73,25.47,89,100,10.22
437,Aktobe,KZ,50.28,57.21,42.8,87,90,4.47
438,Carballo,ES,43.21,-8.69,55.99,93,90,6.93
439,Escárcega,MX,18.61,-90.75,95.77,27,1,7.74
440,Sabang,ID,5.89,95.32,84.07,76,99,6.87
442,Karacabey,TR,40.22,28.4,50.0,71,75,27.51
443,Zhangye,CN,38.93,100.45,47.7,21,55,2.82
444,Acajutla,SV,13.59,-89.83,93.2,44,40,5.82
448,Sivaki,RU,52.63,126.75,28.87,84,100,13.18
449,Todos Santos,MX,23.45,-110.22,69.01,73,99,5.01
450,Keti Bandar,PK,24.14,67.45,80.89,76,72,15.03
454,Samaná,DO,19.21,-69.34,77.34,77,8,9.22
455,Amapala,HN,13.29,-87.65,96.8,39,2,13.87
456,Kannod,IN,22.67,76.73,78.67,26,0,4.23
457,Gdynia,PL,54.52,18.53,42.01,93,40,6.93
458,Tagusao,PH,9.19,117.81,84.4,71,93,3.76
459,Gorontalo,ID,0.54,123.06,82.0,79,10,1.25
460,Winnemucca,US,40.97,-117.74,69.8,15,90,3.36
461,Karlivka,UA,49.46,35.13,37.22,75,7,7.78
463,Ocós,GT,14.51,-92.19,89.6,59,20,8.05
464,Assiut,EG,27.18,31.18,73.4,33,0,6.93
465,Omiš,HR,43.44,16.69,59.0,51,100,6.93
466,Ryki,PL,51.63,21.93,41.0,62,8,2.66
467,Gossaigaon,IN,26.45,89.99,68.95,71,40,3.13
468,Bereda,ES,43.27,-7.54,55.0,93,90,6.93
469,Urshel'skiy,RU,55.68,40.22,36.99,76,99,14.2
470,Brawley,US,32.98,-115.53,84.2,20,1,14.99
472,Woodstock,CA,43.13,-80.75,33.01,80,75,16.11
473,Whitehorse,CA,60.72,-135.05,48.2,42,90,14.99
474,Tokur,RU,53.13,132.9,20.86,84,100,11.01
475,Abhā,SA,18.22,42.51,59.0,87,20,6.93
476,Segezha,RU,63.74,34.32,26.82,94,15,8.39
477,Butembo,CD,0.15,29.28,56.23,66,94,2.39
479,Narsimhapur,IN,22.95,79.2,77.09,30,47,1.01
480,Nurota,UZ,40.56,65.69,59.0,72,9,6.93
482,Nanortalik,GL,60.14,-45.24,37.67,78,64,10.65
483,Lokachi,UA,50.74,24.65,38.79,74,50,3.71
486,Sibolga,ID,1.74,98.78,77.9,79,70,3.49
488,Jinxiang,CN,22.86,115.7,71.01,91,90,13.85
489,Hindaun,IN,26.72,77.02,78.35,30,6,3.02
490,Vanavara,RU,60.34,102.28,35.31,72,100,9.19
492,Margate,GB,51.38,1.39,53.01,71,15,1.99
493,Griffith,US,41.53,-87.42,50.0,39,1,9.17
494,Shunyi,CN,40.12,116.65,45.0,13,0,17.9
495,The Valley,AI,18.22,-63.06,84.2,70,20,12.75
498,Bubaque,GW,11.28,-15.83,78.87,67,8,13.09
499,Ahtopol,BG,42.1,27.95,46.99,75,100,5.82
500,Totness,SR,5.88,-56.32,78.93,83,80,12.53
501,Okhotsk,RU,59.38,143.3,23.22,87,95,3.22
502,Vestmannaeyjar,IS,63.44,-20.27,44.29,81,60,7.09
503,Matara,LK,5.95,80.54,78.31,87,96,3.69
504,Križevci,HR,46.02,16.54,48.0,61,62,4.92
505,Klaksvík,FO,62.23,-6.59,42.8,75,22,8.05
506,Evinayong,GQ,1.44,10.55,68.13,81,54,0.22
508,Ridgecrest,US,35.62,-117.67,78.01,27,20,6.93
509,Kitovo,RU,56.87,41.28,37.24,76,94,16.75
511,Pemangkat,ID,1.17,108.97,78.49,86,98,5.37
513,Tarancón,ES,40.01,-3.01,55.0,76,20,6.93
514,Newport,GB,51.59,-3.0,51.01,75,5,1.99
515,Fort Saint James,CA,54.43,-124.25,53.51,37,77,10.09
516,Balmazújváros,HU,47.62,21.35,48.2,36,0,12.75
517,Bonthe,SL,7.53,-12.51,80.51,88,95,5.32
519,Santa Cruz de La Palma,ES,28.68,-17.76,66.2,63,90,8.05
520,Lapeer,US,43.05,-83.32,37.4,44,75,14.99
521,Mizdah,LY,31.45,12.98,63.25,34,0,6.46
522,Sri Aman,MY,1.24,111.46,75.2,100,100,2.24
